#				
#   VizieR Astronomical Server vizier.u-strasbg.fr				
#    Date: 2021-04-23T06:47:17 [V1.99+ (14-Oct-2013)]				
#   In case of problem, please report to:	cds-question@unistra.fr			
#				
#				
#Coosys	J2000:	eq_FK5 J2000		
#INFO	votable-version=1.99+ (14-Oct-2013)			
#INFO	-ref=VIZ60826c0f15d4da			
#INFO	-out.max=9999			
#INFO	queryParameters=9			
#-oc.form=dec				
#-out.max=9999				
#-nav=cat:J/AJ/159/60&tab:{J/AJ/159/60/table1}&key:source=J/AJ/159/60/table1&HTTPPRM:&				
#-source=J/AJ/159/60/table1				
#-order=I				
#-out=TIC				
#-out=Sec				
#-out=Outbst				
#-out=Flare				
#				
				
#RESOURCE=yCat_51590060				
#Name: J/AJ/159/60				
#Title: 8695 flares from 1228 stars in TESS sectors 1 & 2 (Gunther+, 2020)				
#Table	J_AJ_159_60_table1:			
70775324	2	3	1	
70775541	2	1	1	
70775541	2	2	1	
70785920	2	1	1	
70788010	2	2	1	
70797900	2	1	1	
70797900	2	2	1	
70797900	2	3	1	
70797900	2	3	2	
70798821	2	1	1	
70798821	2	1	2	
70798821	2	2	1	
70798821	2	4	1	
70798821	2	5	1	
71274771	1	1	1	
71274771	1	2	1	
71274771	1	3	1	
71274771	1	4	1	
71274771	1	5	1	
71274771	1	7	1	
71274771	1	8	1	
71274771	1	8	2	
71274771	1	10	1	
71274771	1	11	1	
71274771	1	12	1	
71274771	1	12	2	
71274771	1	12	3	
71335815	1	1	1	
71335815	1	3	1	
71335815	1	4	1	
77004378	2	1	1	
77022104	2	2	1	
77041173	2	1	1	
79011520	1	1	1	
79011520	1	1	2	
79011520	1	1	3	
79011520	1	2	1	
79011520	1	4	1	
79225651	1	1	1	
79225651	1	1	2	
79301671	1	1	1	
79301671	1	1	2	
79301671	1	2	1	
79301671	1	2	2	
79301672	1	1	1	
79301672	1	1	2	
79301672	1	2	1	
79301672	1	2	2	
79403675	1	1	1	
79403675	1	4	1	
79403675	1	5	1	
79403675	1	5	2	
79403675	1	6	1	
79403675	1	7	1	
79403675	1	8	1	
79403675	1	10	1	
79403675	1	12	1	
79403675	1	13	1	
79403675	1	14	1	
79491341	1	1	1	
79491341	1	2	1	
80055369	1	1	1	
80055369	1	1	2	
80055369	1	2	1	
80055369	1	3	1	
80080784	1	1	1	
80080784	1	1	2	
80083663	1	3	1	
80083663	1	3	2	
80083663	1	4	1	
80083663	1	5	1	
80083663	1	6	1	
80083663	1	7	1	
80083663	1	8	1	
80083663	1	9	1	
80261924	2	1	1	
80261924	2	2	1	
80261924	2	3	1	
80337451	2	2	1	
80337451	2	3	1	
80337451	2	4	1	
80337451	2	5	1	
80362748	2	1	1	
80427281	2	1	1	
80427281	2	2	1	
80427281	2	3	1	
80427281	2	5	1	
80427281	2	6	1	
80427281	2	7	1	
80427281	2	7	2	
80427281	2	9	1	
80427281	2	10	1	
80427281	2	10	2	
80427281	2	11	1	
80427281	2	12	1	
80427281	2	13	1	
80427281	2	14	1	
80427281	2	15	1	
80427281	2	16	1	
80427866	2	1	1	
80453023	2	1	1	
80453023	2	3	1	
80453023	2	4	1	
80453023	2	5	1	
88246378	1	2	1	
88246378	1	3	1	
88246378	1	4	1	
88246378	1	4	2	
88246378	1	6	1	
88246378	1	9	1	
88246378	1	10	1	
88246378	1	11	1	
88246378	1	12	1	
88246378	1	13	1	
88246378	1	14	1	
88246378	1	17	1	
88246378	1	17	2	
88246378	1	17	3	
89257479	1	1	1	
89257479	1	2	1	
89257479	1	3	1	
89257479	1	4	1	
89257479	1	5	1	
89257479	1	6	1	
89257479	1	7	1	
89257479	1	8	1	
89257479	1	9	1	
89257479	1	10	1	
89257479	1	11	1	
89434461	2	1	1	
89434461	2	1	2	
89434461	2	2	1	
89466504	1	1	1	
89502706	2	1	1	
89502706	2	2	1	
89502706	2	2	2	
89502706	2	3	1	
89502706	2	5	1	
89502706	2	5	2	
89502706	2	7	1	
89502706	2	7	2	
89502706	2	8	1	
89502706	2	9	1	
89502706	2	10	1	
89502706	2	11	1	
89502706	2	11	2	
89502706	2	12	1	
89502706	2	13	1	
89502706	2	14	1	
89502706	2	16	1	
89502708	2	1	1	
89529498	2	1	1	
89543390	2	1	1	
89543390	2	3	1	
89543390	2	4	1	
89543390	2	5	1	
89543390	2	5	2	
89546779	2	2	1	
89546779	2	3	1	
89546779	2	3	2	
91478103	1	1	1	
91478103	1	2	1	
91478103	1	3	1	
91478103	1	4	1	
92136299	2	1	1	
92136299	2	3	1	
92136299	2	5	1	
92138131	2	1	1	
92254719	1	1	1	
92254719	1	2	1	
92254719	1	3	1	
92254719	1	4	1	
92254720	1	1	1	
92254720	1	2	1	
92254720	1	3	1	
92254720	1	4	1	
92254720	1	6	1	
92350846	1	1	1	
92350846	1	1	2	
92500085	1	1	1	
92500085	1	2	1	
92564714	1	1	1	
92595555	1	1	1	
92595555	1	2	1	
92595555	1	3	1	
92595555	1	4	1	
92595555	1	4	2	
92595555	1	4	3	
92595555	1	5	1	
92595555	1	5	2	
92595555	1	6	1	
92595555	1	7	1	
92595555	1	8	1	
92595555	1	9	1	
92595555	1	10	1	
92595555	1	11	1	
92595555	1	12	1	
92595555	1	13	1	
92630250	1	1	1	
92630250	1	5	1	
92630250	1	5	2	
92630250	1	6	1	
92630250	1	6	2	
92630250	1	6	3	
92630250	1	7	1	
92865531	1	1	1	
92865531	1	2	1	
92877691	1	2	1	
92877691	1	3	1	
92877752	1	1	1	
92877752	1	2	1	
92877752	1	3	1	
92877752	1	4	1	
92877752	1	4	2	
92877752	1	7	1	
92877752	1	8	1	
99494149	1	1	1	
99494149	1	2	1	
99494149	1	3	1	
99494149	1	3	2	
99494149	1	3	3	
99494149	1	4	1	
99499229	1	1	1	
99499229	1	2	1	
99499229	1	3	1	
99499229	1	3	2	
99499229	1	4	1	
99499229	1	7	1	
99499229	1	8	1	
99499229	1	8	2	
99499229	1	9	1	
99499229	1	10	1	
99499229	1	11	1	
99499229	1	11	2	
99499658	1	1	1	
99499658	1	2	1	
99499658	1	3	1	
99499658	1	3	2	
99499658	1	4	1	
99499658	1	6	1	
99566892	1	1	1	
99566892	1	2	1	
99566892	1	3	1	
99566892	1	4	1	
99566892	1	5	1	
99566892	1	6	1	
99566892	1	7	1	
99566892	1	7	2	
99566892	1	8	1	
99566892	1	8	2	
100100909	2	1	1	
100100909	2	2	1	
100100909	2	3	1	
100100909	2	4	1	
100100909	2	5	1	
101936401	2	1	1	
101936401	2	2	1	
101936401	2	3	1	
101936401	2	4	1	
101936401	2	6	1	
101936401	2	7	1	
101936401	2	8	1	
101936401	2	9	1	
101963752	2	1	1	
101963752	2	2	1	
101963752	2	4	1	
101963752	2	5	1	
101963752	2	6	1	
101963752	2	7	1	
101963752	2	8	1	
101963752	2	9	1	
101963752	2	9	2	
101963752	2	10	1	
102032397	2	1	1	
102032397	2	2	1	
102032397	2	3	1	
102032397	2	3	2	
102032397	2	4	1	
102032397	2	5	1	
102032397	2	6	1	
102032397	2	7	1	
102032397	2	11	1	
102032397	2	13	1	
102032397	2	14	1	
102032397	2	16	1	
102032397	2	16	2	
102064049	2	1	1	
102071750	2	1	1	
102071750	2	2	1	
102071750	2	2	2	
102071750	2	3	1	
102071750	2	3	2	
102071750	2	4	1	
102071750	2	5	1	
102071750	2	6	1	
102071750	2	7	1	
102071750	2	7	2	
102071750	2	8	1	
102071750	2	8	2	
102071750	2	9	1	
102071750	2	10	1	
102071750	2	11	1	
102071750	2	12	1	
102071750	2	13	1	
102071750	2	14	1	
102071750	2	15	1	
102071750	2	16	1	
102071750	2	17	1	
102071750	2	17	2	
102086756	2	1	1	
102086756	2	2	1	
111755544	2	1	1	
111755544	2	2	1	
111755544	2	4	1	
114794572	2	1	1	
114794572	2	1	2	
114794572	2	1	3	
114794572	2	2	1	
114794572	2	2	2	
114794572	2	4	1	
114794572	2	5	1	
114794572	2	7	1	
114794572	2	8	1	
114794572	2	8	2	
114818487	2	1	1	
114819903	2	1	1	
114819903	2	2	1	
114819903	2	2	2	
114819903	2	3	1	
114819903	2	3	2	
114819903	2	5	1	
114819903	2	6	1	
114819903	2	6	2	
114819903	2	7	1	
114819903	2	9	1	
114819903	2	10	1	
114819903	2	11	1	
114819903	2	12	1	
114819903	2	13	1	
114819903	2	14	1	
114851071	2	1	1	
114851071	2	2	1	
114851071	2	3	1	
114851071	2	3	2	
114851071	2	4	1	
114851071	2	4	2	
114851071	2	5	1	
114851071	2	5	2	
114851071	2	6	1	
114851071	2	7	1	
114851071	2	8	1	
114851071	2	8	2	
114851071	2	9	1	
114851071	2	10	1	
114851071	2	10	2	
114851071	2	12	1	
114851071	2	16	1	
114851071	2	16	2	
114851071	2	17	1	
114851071	2	18	1	
114851071	2	18	2	
114858562	2	1	1	
114953216	1	1	1	
114953216	1	2	1	
114953216	1	3	1	
114953216	1	4	1	
114953216	1	5	1	
114953216	1	6	1	
114953216	1	7	1	
114953216	1	8	1	
114953216	1	10	1	
114953216	1	11	1	
114953216	1	12	1	
114953216	1	12	2	
114985772	1	1	1	
114985772	1	2	1	
114985772	1	3	1	
114985772	1	3	2	
114985772	1	5	1	
114985772	1	7	1	
114985772	1	8	1	
114985772	1	9	1	
114985772	1	11	1	
114985772	1	11	2	
114985772	1	12	1	
114985772	1	13	1	
114985772	1	14	1	
114985772	1	14	2	
114985772	1	15	1	
114985772	1	15	2	
114985772	1	16	1	
114985772	1	17	1	
114985772	1	17	2	
114985772	1	18	1	
114985772	1	19	1	
114985772	1	20	1	
114985772	1	21	1	
114985772	1	22	1	
114985772	1	22	2	
114985772	1	23	1	
114985772	1	23	2	
114985772	1	25	1	
115015715	1	2	1	
115015715	1	3	1	
115015715	1	5	1	
115015715	1	6	1	
115015715	1	7	1	
115015715	1	8	1	
115015715	1	9	1	
115151897	1	1	1	
115190256	1	1	1	
115190256	1	2	1	
115190256	1	4	1	
115190256	1	6	1	
115190256	1	7	1	
115190256	1	7	2	
115190256	1	8	1	
115190256	1	10	1	
115190256	1	11	1	
115190256	1	13	1	
115190256	1	14	1	
115190256	1	14	2	
115190256	1	16	1	
115190256	1	17	1	
115242296	2	1	1	
115242300	2	1	1	
115242300	2	2	1	
115242300	2	3	1	
115242300	2	4	1	
115242300	2	5	1	
115242300	2	6	1	
115242300	2	7	1	
115242300	2	8	1	
115242300	2	8	2	
115242300	2	9	1	
115242300	2	10	1	
115242300	2	11	1	
115242300	2	12	1	
115242300	2	12	2	
115242300	2	13	1	
115242300	2	13	2	
115242300	2	14	1	
115242300	2	16	1	
115693552	2	1	1	
116157661	2	1	1	
116157661	2	2	1	
116157661	2	3	1	
116157661	2	3	2	
116157661	2	4	1	
116157661	2	5	1	
116157661	2	5	2	
116157661	2	6	1	
116157661	2	7	1	
116157661	2	8	1	
116157661	2	9	1	
116157661	2	11	1	
116157661	2	12	1	
117510145	1	1	1	
117512124	1	1	1	
117517652	1	1	1	
117545157	1	1	1	
117545157	1	1	2	
117549840	2	1	1	
117549840	2	3	1	
117549840	2	3	2	
117549840	2	5	1	
117549840	2	6	1	
117874958	2	1	1	
117874958	2	1	2	
117874958	2	2	1	
117874958	2	3	1	
117874958	2	4	1	
117874958	2	5	1	
117874959	2	2	1	
117874959	2	3	1	
117874959	2	4	1	
117874959	2	5	1	
117874959	2	7	1	
117874959	2	7	2	
117874959	2	8	1	
117874959	2	9	1	
117874959	2	10	1	
117874959	2	11	1	
117874959	2	11	2	
117874959	2	12	1	
117874959	2	13	1	
117874959	2	14	1	
117874959	2	15	1	
117874959	2	16	1	
117874959	2	17	1	
117874959	2	18	1	
118327563	2	1	1	
118585716	2	1	1	
118585716	2	2	1	
120442975	2	1	1	
120442975	2	2	1	
120442975	2	2	2	
120488589	2	1	1	
120488589	2	1	2	
120488589	2	3	1	
120506718	2	1	1	
120506718	2	2	1	
120506718	2	2	2	
120522722	2	1	1	
120566166	2	1	1	
120609299	2	1	1	
121420805	1	1	1	
126748132	1	1	1	
126766627	1	1	1	
126766627	1	2	1	
126805047	1	1	1	
126805047	1	2	1	
126805047	1	3	1	
126805047	1	4	1	
126805047	1	4	2	
126805047	1	5	1	
126805047	1	6	1	
126805047	1	7	1	
126805047	1	8	1	
126805047	1	9	1	
126805047	1	10	1	
126805047	1	10	2	
126805047	1	12	1	
126805047	1	12	2	
126805047	1	13	1	
126805047	1	15	1	
126805047	1	16	1	
126805047	1	17	1	
126805047	1	18	1	
126805047	1	19	1	
126805047	1	20	1	
126805047	1	21	1	
126805047	1	21	2	
126805047	1	22	1	
126805047	1	22	2	
126805047	1	23	1	
126945045	1	1	1	
126945045	1	2	1	
126945045	1	3	1	
126945045	1	4	1	
126945045	1	5	1	
126945045	1	6	1	
129646813	1	1	1	
129646813	1	1	2	
129646813	1	2	1	
129646813	1	3	1	
129646813	1	3	2	
129646813	1	4	1	
129646813	1	5	1	
129678819	1	1	1	
137772485	2	1	1	
137801807	2	1	1	
139090254	1	1	1	
139090254	1	2	1	
139090254	1	3	1	
139090254	1	4	1	
139090254	1	5	1	
139090254	1	6	1	
139090254	1	7	1	
139090254	1	7	2	
139131482	1	1	1	
139131482	1	2	1	
139233425	1	1	1	
139233425	1	2	1	
139233425	1	3	1	
139285666	2	2	1	
139300806	2	2	1	
139300891	1	2	1	
139300891	2	1	1	
139328314	2	1	1	
139722169	1	2	1	
139722169	1	3	1	
139763851	1	1	1	
139763851	1	2	1	
139763851	1	3	1	
139763851	1	4	1	
139763851	1	6	1	
139763851	1	7	1	
139763851	1	8	1	
139804406	1	1	1	
139804406	1	1	2	
139804406	1	2	1	
139804406	1	3	1	
139804696	1	1	1	
139804696	1	2	1	
139804696	1	3	1	
139804696	1	5	1	
139804696	1	6	1	
139804696	1	7	1	
139804696	1	8	1	
139825198	1	1	1	
139841210	1	1	1	
139841210	1	2	1	
139841210	1	2	2	
139841210	1	3	1	
139841210	1	4	1	
139841210	1	5	1	
139841210	1	5	2	
139841210	1	6	1	
139841210	1	6	2	
139841210	1	7	1	
139841210	1	7	2	
139841210	1	8	1	
139984208	1	1	1	
139984208	1	2	1	
139984208	1	3	1	
139984208	1	3	2	
139984208	1	4	1	
139984208	1	5	1	
139990632	1	2	1	
139996019	1	1	1	
139996019	1	2	1	
139996019	1	3	1	
139996019	1	3	2	
139996019	1	4	1	
139996019	1	5	1	
139996019	1	6	1	
139996019	1	7	1	
139996019	1	8	1	
140039144	1	1	1	
140045537	1	1	1	
140045537	1	2	1	
140045537	1	2	2	
140045537	1	2	3	
140045537	1	3	1	
140045537	1	3	2	
140045538	1	1	1	
140045538	1	1	2	
140045538	1	2	1	
140045538	1	4	1	
140045538	1	4	2	
140045538	1	5	1	
140045538	1	5	2	
140045538	1	6	1	
140045538	1	6	2	
140045538	1	7	1	
140045538	1	7	2	
140045538	1	7	3	
140045538	1	7	4	
140045538	1	8	1	
140045538	1	8	2	
140045538	1	8	3	
140045538	1	8	4	
140045538	1	9	1	
140045538	1	10	1	
140045538	1	12	1	
140045538	1	13	1	
140045538	1	14	1	
140045538	1	15	1	
140045538	1	16	1	
140045538	1	17	1	
140045538	1	17	2	
140045538	1	18	1	
140045538	1	18	2	
140045538	1	19	1	
140045538	1	19	2	
140045538	1	20	1	
140045538	1	21	1	
140045538	1	22	1	
140045538	1	23	1	
140045538	1	23	2	
140045538	1	24	1	
140045538	1	25	1	
140045538	1	25	2	
140045538	1	26	1	
140045538	1	26	2	
140045538	1	26	3	
140045538	1	27	1	
140045538	1	28	1	
140045538	1	28	2	
140045538	1	29	1	
140045538	1	29	2	
140045538	1	30	1	
140045538	1	30	2	
140045538	1	31	1	
140045538	1	31	2	
140045538	1	32	1	
140045538	1	33	1	
140045538	1	34	1	
140045538	1	35	1	
140045538	1	36	1	
140045538	1	36	2	
140045538	1	37	1	
140045538	1	37	2	
140045538	1	38	1	
140045538	1	39	1	
140045538	1	39	2	
140045538	1	39	3	
140045538	1	40	1	
140045538	1	41	1	
140045538	1	41	2	
140045538	1	41	3	
140045538	1	42	1	
140045538	1	43	1	
140045538	1	43	2	
140045538	1	43	3	
140045538	1	43	4	
140045538	1	44	1	
140045538	1	44	2	
140045538	1	44	3	
140045538	1	45	1	
140045538	1	46	1	
140045538	1	47	1	
140045538	1	48	1	
140045538	1	49	1	
140045538	1	49	2	
140045538	1	50	1	
140045538	1	50	2	
140045538	1	50	3	
140045538	1	51	1	
140045538	1	52	1	
140045538	1	53	1	
140045538	1	54	1	
140045538	1	55	1	
140045538	1	56	1	
140045538	1	57	1	
140045538	1	58	1	
140045538	1	58	2	
140069261	1	3	1	
140069261	1	4	1	
140069261	1	5	1	
140069261	1	6	1	
140579674	2	1	1	
140579674	2	2	1	
140659980	2	1	1	
140659980	2	2	1	
140859822	1	1	1	
140859822	1	2	1	
140859822	1	2	2	
140859822	1	3	1	
140859822	1	4	1	
140859822	1	5	1	
140859822	1	6	1	
140859822	1	6	2	
140859822	1	6	3	
140859822	1	7	1	
140859822	1	8	1	
140859822	1	8	2	
140859822	2	1	1	
140859822	2	1	2	
140859822	2	3	1	
140859822	2	4	1	
140971842	1	1	1	
141096071	2	1	1	
141212720	1	1	1	
141212720	1	2	1	
141212720	2	1	1	
141212720	2	1	2	
141212720	2	1	3	
141212720	2	2	1	
141212720	2	3	1	
141271216	2	1	1	
141278810	1	1	1	
141334293	1	2	1	
141334293	1	3	1	
141334293	1	4	1	
141334293	1	5	1	
141334293	1	5	2	
141334293	1	5	3	
141334293	1	8	1	
141334293	1	9	1	
141334293	1	10	1	
141334293	1	11	1	
141334293	1	11	2	
141334293	1	11	3	
141334293	1	12	1	
141334293	2	1	1	
141334293	2	1	2	
141334293	2	2	1	
141334293	2	3	1	
141334293	2	4	1	
141334293	2	5	1	
141334293	2	7	1	
141334293	2	8	1	
141334293	2	11	1	
141334293	2	12	1	
141334293	2	12	2	
141423634	1	1	1	
141423634	1	2	1	
141423634	1	3	1	
141423634	2	1	1	
141423634	2	3	1	
141426525	1	1	1	
141426525	1	1	2	
141606958	2	1	1	
141769356	1	3	1	
141769356	1	4	1	
141769356	1	4	2	
141769356	1	5	1	
141769356	1	6	1	
141769356	2	1	1	
141769356	2	1	2	
141769356	2	2	1	
141771691	1	1	1	
141807839	2	2	1	
141807839	2	3	1	
141807839	2	4	1	
141807839	2	4	2	
141807839	2	5	1	
141807839	2	6	1	
141807839	2	6	2	
141807839	2	7	1	
141807839	2	7	2	
141807839	2	8	1	
141807839	2	9	1	
141807839	2	11	1	
141807839	2	12	1	
141807839	2	13	1	
141807839	2	13	2	
141807839	2	14	1	
141807839	2	14	2	
141807839	2	15	1	
141807839	2	16	1	
141807839	2	16	2	
141807839	2	17	1	
141807839	2	18	1	
141807839	2	18	2	
141807839	2	18	3	
141914082	1	2	1	
141914082	1	2	2	
141914082	1	4	1	
141914082	1	5	1	
141914082	1	6	1	
141914082	1	6	2	
141914082	1	6	3	
141914082	1	7	1	
141914082	1	10	1	
141914082	1	11	1	
141914082	1	12	1	
141945750	1	1	1	
141945750	1	3	1	
141975926	1	1	1	
141975926	1	1	2	
141975926	1	2	1	
141975926	1	3	1	
141975926	1	3	2	
141975926	1	4	1	
141975926	1	6	1	
141975926	1	6	2	
141975926	1	7	1	
141975926	1	8	1	
141975926	1	8	2	
141975926	1	9	1	
141975926	1	10	1	
141975926	2	1	1	
141975926	2	2	1	
141975926	2	3	1	
141975926	2	4	1	
141975926	2	5	1	
141975926	2	6	1	
141975926	2	8	1	
141975926	2	9	1	
141975926	2	10	1	
141975926	2	11	1	
141975926	2	12	1	
141975926	2	13	1	
141975926	2	14	1	
141975926	2	15	1	
141975926	2	16	1	
141975926	2	18	1	
141975926	2	18	2	
141975926	2	18	3	
141975926	2	19	1	
142052608	1	1	1	
142052608	2	1	1	
142052608	2	2	1	
142052876	1	2	1	
142052876	1	3	1	
142052876	1	4	1	
142052876	1	4	2	
142052876	1	5	1	
142052876	1	6	1	
142052876	1	6	2	
142052876	1	6	3	
142052876	1	7	1	
142052876	1	9	1	
142052876	1	10	1	
142052876	1	11	1	
142052876	1	11	2	
142052876	1	12	1	
142052876	1	13	1	
142052876	1	14	1	
142052876	1	14	2	
142052876	1	15	1	
142052876	2	1	1	
142052876	2	2	1	
142052876	2	2	2	
142052876	2	2	3	
142052876	2	3	1	
142052876	2	3	2	
142052876	2	4	1	
142052876	2	4	2	
142052876	2	4	3	
142052876	2	5	1	
142052876	2	6	1	
142052876	2	7	1	
142052876	2	7	2	
142052876	2	8	1	
142052876	2	10	1	
142082467	2	2	1	
142082467	2	3	1	
142082467	2	4	1	
142082942	2	2	1	
142082942	2	3	1	
142082942	2	3	2	
142082942	2	4	1	
142085618	2	1	1	
142086812	1	1	1	
142086812	1	1	2	
142086812	1	1	3	
142086812	1	2	1	
142086812	2	1	1	
142086812	2	2	1	
142086812	2	3	1	
142086812	2	4	1	
142086812	2	5	1	
142086812	2	6	1	
142086812	2	7	1	
142087340	1	1	1	
142087340	1	2	1	
142087340	1	3	1	
142087340	1	3	2	
142087340	1	4	1	
142087340	1	5	1	
142087451	1	1	1	
142087451	1	1	2	
142087451	1	2	1	
142087451	1	3	1	
142107618	1	1	1	
142107618	2	1	1	
142107618	2	2	1	
142144969	1	1	1	
142148228	1	1	1	
142148228	1	2	1	
143821840	1	1	1	
143821840	1	1	2	
143821840	1	2	1	
143821840	1	5	1	
143821840	1	5	2	
143821840	1	6	1	
143822655	1	1	1	
143822655	1	2	1	
144217628	1	1	1	
144217628	1	2	1	
144217628	1	4	1	
144217628	1	5	1	
144217628	1	6	1	
144313450	2	1	1	
144313450	2	2	1	
144403212	2	1	1	
144403212	2	1	2	
144403212	2	2	1	
144403212	2	3	1	
144403212	2	4	1	
144403212	2	5	1	
144403212	2	6	1	
144403212	2	7	1	
144403212	2	8	1	
144403212	2	9	1	
144403212	2	10	1	
144403212	2	11	1	
144403212	2	11	2	
144403212	2	12	1	
144406668	2	1	1	
144406668	2	1	2	
144406668	2	3	1	
144406668	2	4	1	
144406668	2	5	1	
144406668	2	6	1	
144406668	2	6	2	
144406668	2	7	1	
144406668	2	8	1	
144406668	2	9	1	
144406668	2	10	1	
144406668	2	12	1	
144406668	2	12	2	
144458200	1	1	1	
145964181	2	1	1	
145964181	2	2	1	
145964181	2	3	1	
145964181	2	4	1	
145964181	2	4	2	
145964181	2	4	3	
145964181	2	5	1	
145964181	2	6	1	
145964181	2	8	1	
145964181	2	9	1	
145964181	2	10	1	
147085676	1	1	1	
147085676	1	3	1	
147085676	1	4	1	
147085676	1	5	1	
147085676	1	5	2	
147085676	1	6	1	
147113919	1	1	1	
147133612	1	2	1	
147133612	1	2	2	
147133612	1	5	1	
147133612	1	5	2	
147133612	1	6	1	
147133612	1	7	1	
147133612	1	8	1	
147133612	1	9	1	
147133612	1	10	1	
147133612	1	11	1	
147163817	1	1	1	
147163817	1	3	1	
147250411	1	1	1	
147272181	1	1	1	
147272181	1	2	1	
147272181	1	2	2	
147272181	1	3	1	
147272181	1	3	2	
147272181	1	5	1	
147302016	1	1	1	
147302016	1	2	1	
147421845	1	1	1	
147421845	1	2	1	
147421845	1	4	1	
147421845	1	5	1	
147421845	1	6	1	
147421845	1	6	2	
149019616	2	1	1	
149101411	1	1	1	
149101411	1	2	1	
149101411	1	3	1	
149101411	1	4	1	
149101411	1	5	1	
149101411	1	5	2	
149101411	2	1	1	
149101411	2	2	1	
149101411	2	3	1	
149101411	2	4	1	
149103941	1	1	1	
149175965	2	1	1	
149175965	2	2	1	
149175965	2	3	1	
149175965	2	4	1	
149175965	2	5	1	
149175965	2	6	1	
149175965	2	6	2	
149175965	2	7	1	
149175965	2	7	2	
149175965	2	11	1	
149216532	1	1	1	
149216532	1	1	2	
149216532	1	2	1	
149216532	1	3	1	
149216532	1	3	2	
149216532	1	6	1	
149216532	1	7	1	
149216532	2	1	1	
149216532	2	2	1	
149216532	2	2	2	
149216532	2	4	1	
149216532	2	5	1	
149216532	2	6	1	
149248196	1	1	1	
149248196	1	2	1	
149248196	1	2	2	
149248196	1	3	1	
149248196	1	3	2	
149248196	1	4	1	
149248196	1	4	2	
149248196	1	5	1	
149248196	1	6	1	
149248196	1	7	1	
149248196	1	8	1	
149248196	1	8	2	
149248196	1	9	1	
149248196	1	9	2	
149248196	1	10	1	
149248196	1	11	1	
149248196	1	11	2	
149248196	1	12	1	
149248196	1	14	1	
149248196	1	14	2	
149248196	1	15	1	
149248196	1	15	2	
149248196	2	1	1	
149248196	2	2	1	
149248196	2	2	2	
149248196	2	3	1	
149248196	2	3	2	
149248196	2	4	1	
149248196	2	4	2	
149248196	2	5	1	
149248196	2	5	2	
149248196	2	6	1	
149248196	2	7	1	
149248196	2	8	1	
149248196	2	8	2	
149248196	2	9	1	
149248196	2	9	2	
149347480	1	1	1	
149347480	1	2	1	
149347480	1	3	1	
149347480	2	1	1	
149347480	2	2	1	
149347629	1	1	1	
149347629	1	2	1	
149347629	1	3	1	
149347629	1	4	1	
149347629	1	6	1	
149347629	1	7	1	
149347629	2	1	1	
149347629	2	2	1	
149347629	2	3	1	
149347629	2	3	2	
149347629	2	4	1	
149423103	2	1	1	
149445580	1	2	1	
149445580	2	1	1	
149445580	2	1	2	
149603524	1	1	1	
149838027	2	1	1	
149838027	2	2	1	
149838027	2	2	2	
149838027	2	2	3	
149838027	2	4	1	
149838027	2	5	1	
149838027	2	6	1	
149913598	1	1	1	
149913598	1	2	1	
149913598	1	3	1	
149913598	1	4	1	
149913598	1	6	1	
149913598	1	7	1	
149913598	1	7	2	
149913598	1	8	1	
149913598	1	9	1	
149913598	1	10	1	
149988104	2	1	1	
150100421	1	1	1	
150100421	1	2	1	
150100421	1	3	1	
150100421	1	3	2	
150100421	1	3	3	
150100421	1	4	1	
150100421	1	5	1	
150100421	1	5	2	
150100421	1	6	1	
150100421	1	7	1	
150100421	1	9	1	
150100421	1	10	1	
150100421	1	11	1	
150100421	1	11	2	
150100421	1	12	1	
150100421	2	1	1	
150100421	2	2	1	
150100421	2	2	2	
150100421	2	3	1	
150100421	2	4	1	
150100421	2	5	1	
150145456	1	1	1	
150145456	1	1	2	
150145456	2	1	1	
150145456	2	2	1	
150145456	2	3	1	
150145456	2	3	2	
150145456	2	4	1	
150167319	1	2	1	
150167319	1	2	2	
150167319	1	2	3	
150167319	1	3	1	
150167319	1	4	1	
150167319	1	5	1	
150167319	2	2	1	
150167319	2	2	2	
150167319	2	3	1	
150167319	2	4	1	
150187916	1	1	1	
150188736	1	1	1	
150188736	1	1	2	
150188736	1	1	3	
150188736	2	1	1	
150299548	1	1	1	
150299548	2	1	1	
150299548	2	1	2	
150299548	2	3	1	
150321663	1	1	1	
150321663	1	1	2	
150321663	2	1	1	
150321663	2	2	1	
150359500	1	1	1	
150359500	1	1	2	
150359500	1	2	1	
150359500	1	2	2	
150359500	1	3	1	
150359500	1	4	1	
150359500	1	5	1	
150359500	1	6	1	
150359500	1	7	1	
150359500	1	7	2	
150359500	1	8	1	
150359500	1	9	1	
150359500	1	10	1	
150359500	1	10	2	
150359500	1	11	1	
150359500	1	12	1	
150359500	1	13	1	
150359500	1	13	2	
150359500	1	14	1	
150359500	1	15	1	
150359500	1	16	1	
150359500	1	16	2	
150359500	1	17	1	
150359500	1	17	2	
150359500	1	18	1	
150359500	1	19	1	
150359500	1	20	1	
150359500	1	21	1	
150359500	1	21	2	
150359500	1	21	3	
150359500	1	22	1	
150359500	1	23	1	
150359500	1	23	2	
150359500	1	24	1	
150359500	1	25	1	
150359500	1	26	1	
150359500	1	27	1	
150359500	1	28	1	
150359500	1	28	2	
150359500	1	29	1	
150359500	1	29	2	
150359500	1	30	1	
150359500	1	30	2	
150359500	1	30	3	
150359500	1	31	1	
150359500	1	31	2	
150359500	1	32	1	
